cards,Ace of Hearts,bedroom
cards,Two of Hearts,election
cards,Three of Hearts,contribution
cards,Four of Hearts,manufacturer
cards,Five of Hearts,industry
cards,Six of Hearts,courage
cards,Seven of Hearts,explanation
cards,Eight of Hearts,river
cards,Nine of Hearts,stranger
cards,Ten of Hearts,painting
cards,Jack of Hearts,income
cards,Queen of Hearts,computer
cards,King of Hearts,statement
cards,Ace of Spades,department
cards,Two of Spades,poetry
cards,Three of Spades,elevator
cards,Four of Spades,uncle
cards,Five of Spades,fishing
cards,Six of Spades,criticism
cards,Seven of Spades,speaker
cards,Eight of Spades,medicine
cards,Nine of Spades,appearance
cards,Ten of Spades,efficiency
cards,Jack of Spades,unit
cards,Queen of Spades,woman
cards,King of Spades,temperature
cards,Ace of Diamonds,article
cards,Two of Diamonds,sister
cards,Three of Diamonds,attitude
cards,Four of Diamonds,measurement
cards,Five of Diamonds,tale
cards,Six of Diamonds,employment
cards,Seven of Diamonds,membership
cards,Eight of Diamonds,leader
cards,Nine of Diamonds,improvement
cards,Ten of Diamonds,confusion
cards,Jack of Diamonds,power
cards,Queen of Diamonds,piano
cards,King of Diamonds,importance
cards,Ace of Clubs,government
cards,Two of Clubs,operation
cards,Three of Clubs,percentage
cards,Four of Clubs,perception
cards,Five of Clubs,conversation
cards,Six of Clubs,menu
cards,Seven of Clubs,alcohol
cards,Eight of Clubs,inflation
cards,Nine of Clubs,understanding
cards,Ten of Clubs,expression
cards,Jack of Clubs,magazine
cards,Queen of Clubs,recognition
cards,King of Clubs,variety
